trave_points,stars,users,price,num_of_features,beach,bar,massage,child_care,restaurant_show,bike_rent,car_rent,rooftop,fitness,spa,inclusive,billyard,swimming_pool,kitchen,fishing
8.8,4,753,583590,3,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
8.5,4,227,1507954,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8.5,4,2027,1568545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.2,2,1904,353496,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8.6,3,2116,606701,4,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0
8.2,4,1552,831728,6,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0
8.2,3,2664,551320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1,3,6601,375033,6,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8.8,4,1585,855182,6,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
8.7,3,1405,703083,5,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
8.7,5,1156,816462,6,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
8.5,4,2964,858183,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
8.7,4,2562,915620,6,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0
8.6,4,2253,716426,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
8.9,0,339,458404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,5,613,5439860,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,5,864,3668325,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
9.0,4,366,1184839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,5,892,2129565,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8.7,3,3882,522768,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.9,5,1288,1032818,6,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0
8.2,3,1731,461498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.6,4,6263,964401,6,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0
8.6,0,98,852513,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8.8,4,625,782709,6,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0
8.0,0,897,184229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,4,1622,816257,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
8.5,4,2871,598326,6,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0
8.5,5,721,3615747,6,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0
9.1,4,255,1030513,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
8.7,4,1876,811579,6,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
8.7,4,324,1600511,6,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
8.7,4,1165,599486,5,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0
6.8,4,562,518732,4,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
8.9,5,1964,4231443,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,4,1142,662886,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
8.6,3,2810,512143,6,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
8.4,3,3059,350857,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8.5,4,2385,598752,6,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0
8.9,5,316,6333485,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,5,590,2265082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.9,5,252,2459040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,4,309,1510001,6,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0
8.7,4,1967,1026769,5,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
8.7,0,119,674563,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.0,3,137,455029,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8.6,4,275,704544,6,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0
8.6,3,1057,900973,5,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
8.2,3,1448,446657,5,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
8.7,0,28,350785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.8,0,92,1253199,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7.8,4,30,473758,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,4,725,540184,6,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
8.7,5,987,2420217,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9.2,3,81,361446,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.0,4,819,734413,6,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
8.8,5,956,2290357,6,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8.7,4,759,1228151,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8.8,5,1257,2954281,6,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8.7,3,625,728709,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8.8,3,4064,292474,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,3,1492,778594,4,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
8.7,4,461,1039704,6,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
8.4,4,902,1413030,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
8.3,3,3858,297931,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.0,3,829,331432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.5,5,200,1291968,6,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
8.9,5,792,1931949,6,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
8.6,4,1852,695101,5,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0
8.8,3,3275,374478,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.3,3,744,416684,6,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0
8.8,4,3692,839549,6,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
7.7,1,793,219193,4,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0
