name,trave_points,stars,users,price,num_of_features,all_features,location
Villa Canberra,0,0,,Rp 2.106.563,2,"['Pengering pakaian', 'Hewan peliharaan diizinkan']","Seminyak, Kuta"
The Diana Suite Hotel, 8.7 ,3,(697),Rp 992.147,2,"['Aksesibel bagi penyandang disabilitas', 'Bar']","Tuban, Kuta"
Batu Agung Villas, 8.6 ,0,(6),Rp 976.053,0,[],"Ubud, Gianyar"
BRAND NEW! Tiny Paradise at Canggu,0,0,,Rp 500.000,1,['Dapur kecil'],"Canggu, Kuta Utara"
Rama Residence Petitenget Hotel, 9 ,4,(249),Rp 1.128.435,4,"['Dapur kecil', 'Pusat kebugaran', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Seminyak, Kuta"
RedDoorz @ Saren Anyar Homestay Lukluk,0,2,,Rp 830.063,0,[],"Mengwi, Badung"
Tlofts&Co-Living,0,0,,Rp 447.107,3,"['Pengering pakaian', 'Dapur kecil', 'Kursi berjemur tepi kolam']","Kerobokan, Kuta Utara"
Villa Marshela,0,0,,Rp 1.995.238,2,"['Handuk pantai', 'Kursi berjemur tepi kolam']","Legian, Kuta"
Flamingo Dewata Deluxe Pool Villa, 8.9 ,4,(103),Rp 1.251.323,6,"['Transportasi ke pantai', 'Penitipan anak', 'Kursi berjemur pantai', 'Handuk pantai', 'Antar-jemput bandara', 'Bar']","Pecatu, Uluwatu"
The Buyan Villas Resort, 8.4 ,0,(12),Rp 677.863,1,['Dapur kecil'],"Bedugul, Tabanan"
The Tanis Beach Resort, 8.6 ,3,(33),Rp 528.735,6,"['Bar', 'Pantai privat', 'Penyewaan sepeda', 'Layanan pijat', 'Spa', 'Bar']","Nusa Lembongan, Nusa Island"
3Bedroom-703-Private Pool Villa Sanur,0,3,,Rp 500.000,0,[],"Sanur, Bali"
D'Macho Villas Ubud, 9.2 ,4,(5),Rp 1.646.911,1,['Kursi berjemur tepi kolam'],"Ubud, Gianyar"
Green View Ubud Hostel Bali, 7.9 ,0,(11),Rp 130.637,0,[],"Ubud, Gianyar"
Vin Stay Bali, 7.8 ,2,(84),Rp 302.770,1,['Check-out ekspress'],"Denpasar Selatan, Denpasar"
The Asri Villas, 9.7 ,4,(8),Rp 574.830,4,"['Selancar', 'Dekat pantai privat', 'Layanan pijat', 'Antar-jemput bandara']","Pekutatan, Jembrana"
Kondra Premiere Guest House Kuta, 8.7 ,1,(42),Rp 299.286,0,[],"Legian, Kuta"
SDK Homestay Uluwatu RedPartner,0,0,,Rp 225.220,0,[],"Pecatu, Uluwatu"
Toya Villa Ubud, 8.9 ,3,(89),Rp 395.328,4,"['Aktivitas outdoor', 'Penitipan sepeda', 'Kursi berjemur', 'Kursi berjemur tepi kolam']","Ubud, Gianyar"
Sayang Residence II, 7.5 ,1,(78),Rp 259.265,2,"['Penyewaan sepeda', 'Sewa mobil']","Denpasar Selatan, Denpasar"
Mandhasativa Homestay, 8.5 ,1,(9),Rp 571.307,2,"['Aktivitas outdoor', 'Perosotan kolam renang']","Sawan, Buleleng"
Patal Kikian Villas, 8.6 ,5,(16),Rp 3.721.786,1,['Bersepeda atau bersepeda gunung'],"Sidemen, Karangasem"
Narafa's Guest House,0,3,,Rp 363.542,0,[],"Amlapura, Karangasem"
Umah CinCin,0,5,,Rp 1.695.937,6,"['Penitipan sepeda', 'Kursi berjemur', 'Penyewaan sepeda', 'Layanan pijat', 'Pusat kebugaran', 'Bilyar']","Canggu, Kuta Utara"
Hotel Lestari Gilimanuk, 8.4 ,0,(51),Rp 342.044,0,[],"Gilimanuk, Jembrana"
Miraa Guest House & Resto, 9.5 ,0,(5),Rp 237.282,0,[],"Denpasar Timur, Denpasar"
"Madeira Javanese Joglo, Jimbaran",0,0,,Rp 2.664.434,4,"['Kursi berjemur pantai', 'Dapur kecil', 'Payung pantai', 'Kursi berjemur tepi kolam']","Jimbaran, Kuta Selatan"
Seminyak Paradiso Hotel, 8.1 ,3,(49),Rp 452.685,6,"['Penitipan sepeda', 'Penyewaan sepeda', 'Handuk pantai', 'Bilyar', 'Antar-jemput bandara', 'Bar']","Seminyak, Kuta"
Bagus Jati Health & Wellbeing Retreat,0,4,,Rp 3.153.688,6,"['Bersepeda atau bersepeda gunung', 'Jacuzzi', 'Layanan pijat', 'Pusat kebugaran', 'Bar di kolam renang', 'Bar']","Taro, Tegallalang"
La Joya Biu Biu Resort, 8.8 ,0,(222),Rp 2.437.074,5,"['Aktivitas outdoor', 'Pantai privat', 'Penyewaan sepeda', 'Handuk pantai', 'Layanan pijat']","Jimbaran, Kuta Selatan"
Breathe Boutique,0,4,,Rp 4.056.155,0,[],"Pecatu, Uluwatu"
The Tunjung Boutique Resort, 8.8 ,0,(10),Rp 470.765,6,"['Selancar', 'Restoran show cooking', 'Pool atau Snooker', 'Aktivitas outdoor', 'Layanan pijat', 'Bar']","Canggu, Kuta Utara"
Maru Fortuna Villa by Moria,0,0,,Rp 808.331,2,"['Penitipan sepeda', 'Area main anak']","Pejeng Kangin, Tampaksiring"
Emocean Beach Boutique Resort,0,3,,Rp 1.634.863,3,"['Kursi berjemur tepi kolam', 'Spa', 'Bar']","Amed, Karangasem"
The Menjangan by LifestyleRetreats,0,4,,Rp 2.391.906,5,"['Pantai privat', 'Penitipan anak', 'Bilyar', 'Jacuzzi', 'Bar']","Menjangan, Buleleng"
Diamond Beach Villas,0,3,,Rp 3.483.538,0,[],"Nusa Penida, Nusa Island"
Villa Damar Canggu by Nagisa Bali,0,4,,Rp 4.297.373,1,['Layanan pijat'],"Canggu, Kuta Utara"
Canggu Nikki's House,0,0,,Rp 2.223.981,2,"['Aksesibel bagi penyandang disabilitas', 'Check-out ekspress']","Canggu, Kuta Utara"
Villa Djani Balangan by Nagisa Bali,0,0,,Rp 2.922.110,1,['Dapur kecil'],"Jimbaran, Kuta Selatan"
REVĪVŌ Wellness Resort Bali,0,5,,Rp 5.602.446,6,"['Olahraga air', 'Aerobik', 'Bersepeda atau bersepeda gunung', 'Golf', 'Bar di kolam renang', 'Bar']","Nusa Dua, Kuta Selatan"
The Khayangan Dreams Villa Seminyak, 8.4 ,4,(8),Rp 2.156.494,3,"['Layanan pijat', 'Dapur kecil', 'Spa']","Seminyak, Kuta"
Lovina Haven Boutique Resort,0,4,,Rp 1.053.898,2,"['Paket proposal romantis', 'Bar']","Lovina, Buleleng"
DATON HOUSE near Bali Zoo Ubud Mitra RedDoorz, 8.4 ,0,(11),Rp 175.859,0,[],"Sukawati, Gianyar"
Paras Paros Marina Lodge,0,3,,Rp 855.310,4,"['Teras rooftop', 'Perpustakaan', 'Spa', 'Bar']","Denpasar Selatan, Denpasar"
Shore Amora Canggu, 8.4 ,4,(28),Rp 1.947.375,6,"['Selancar', 'Tenda di tepi kolam', 'Layanan pijat', 'Kursi berjemur tepi kolam', 'Spa', 'Bar']","Canggu, Kuta Utara"
RedDoorz Plus near Seminyak Square, 9.2 ,0,(19),Rp 363.697,0,[],"Seminyak, Kuta"
Arfaz Villa Ubud,0,0,,Rp 1.785.251,5,"['Kursi berjemur', 'Layanan pijat', 'Dapur kecil', 'Kursi berjemur tepi kolam', 'Spa']","Ubud, Gianyar"
Grand Yuna Hotel,0,3,,Rp 500.000,2,"['Spa', 'Bar']","Nusa Penida, Nusa Island"
Daghan Cottage Nusa Penida, 8.6 ,0,(16),Rp 455.444,4,"['Sewa mobil', 'Handuk pantai', 'Payung pantai', 'Kursi berjemur tepi kolam']","Nusa Penida, Nusa Island"
Annupuri Villas Bali , 9 ,4,(103),Rp 922.700,0,[],"Tanah Lot, Tabanan"
Manyi Village Ubud, 8.9 ,3,(102),Rp 970.117,2,"['Layanan pijat', 'Jacuzzi']","Tampaksiring, Ubud"
Casa-Thalasa,0,3,,Rp 2.642.084,2,"['Check-out ekspress', 'Spa']","Canggu, Kuta Utara"
THE VILLAGE HOME, 9 ,3,(61),Rp 567.087,2,"['Layanan pijat', 'Spa']","Sanur, Bali"
RC Villas & Spa,0,4,,Rp 2.768.574,4,"['Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara', 'Spa']","Seminyak, Kuta"
Villa Tegaltis Ubud, 9 ,0,(35),Rp 591.313,6,"['Transportasi ke pusat perbelanjaan', 'Penyewaan sepeda', 'Kursi berjemur pantai', 'Payung pantai', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Payangan, Ubud"
Kubu Carik Guesthouse, 8.9 ,1,(153),Rp 292.811,0,[],"Kuta, Badung"
Villa Beji Indah,0,4,,Rp 2.118.212,6,"['Bar di kolam renang', 'Antar-jemput bandara', 'Perpustakaan', 'Area piknik', 'Spa', 'Bar']","Monkey Forest, Ubud"
Minabali Bunga'lo Hotel,0,2,,Rp 604.887,6,"['Safari', 'Pemancingan', 'Kano', 'Menyelam', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Tulamben, Karangasem"
Villa Katrin,0,0,,Rp 2.461.656,1,['Dapur kecil'],"Canggu, Kuta Utara"
Villa Amsa,0,0,,Rp 3.873.509,5,"['Perahu bermotor', 'Jet ski', 'Layanan pijat', 'Dapur kecil', 'Spa']","Seminyak, Kuta"
Villa The Hotman Paris I Seminyak, 7.6 ,4,(8),Rp 3.058.794,0,[],"Seminyak, Kuta"
Purana Boutique Resort , 9.1 ,4,(9),Rp 2.146.194,6,"['Aktivitas outdoor', 'Area main anak', 'Layanan pijat', 'Perpustakaan', 'Check-out ekspress', 'Spa']","Ubud, Gianyar"
Damarya Villa Canggu,0,0,,Rp 1.319.603,2,"['Dapur kecil', 'Check-out ekspress']","Canggu, Kuta Utara"
Bukit Kirana Villas, 8.8 ,5,(25),Rp 2.046.054,4,"['Penitipan anak', 'Sewa mobil', 'Dapur kecil', 'Antar-jemput bandara']","Pecatu, Uluwatu"
Kaamala Luxury Resort & Spa Ubud by Ini Vie Hospitality, 9.1 ,5,(324),Rp 3.452.503,6,"['Darts', 'Jacuzzi', 'Sewa mobil', 'Handuk pantai', 'Pusat kebugaran', 'Bar']","Ubud, Gianyar"
Nusa Bagus Homestay,0,0,,Rp 291.335,5,"['Olah raga air', 'Selancar', 'Snorkeling', 'Pemancingan', 'Menyelam']","Nusa Lembongan, Nusa Island"
Kejora Suites, 8 ,4,(7),Rp 2.160.259,2,"['Handuk pantai', 'Layanan pijat']","Sanur, Bali"
M Boutique Hostel Legian, 9 ,3,(245),Rp 121.537,1,['Teras rooftop'],"Legian, Kuta"
Perissos Echo Beach,0,3,,Rp 670.320,1,['Kursi berjemur tepi kolam'],"Canggu, Kuta Utara"
Townhouse Oak Maxi Hotel Legian Bali, 7.8 ,0,(93),Rp 339.809,1,['Check-out ekspress'],"Legian, Kuta"
Hotel Bagasta Bali, 8.8 ,0,(31),Rp 269.971,0,[],"Denpasar Utara, Denpasar"
Villa Anna,0,4,,Rp 500.000,1,['Paket proposal romantis'],"Lovina, Buleleng"
Villa Coco Seminyak, 8 ,4,(5),Rp 2.795.088,1,['Dapur kecil'],"Seminyak, Kuta"
Urban Styles Inata Bisma Ubud, 8.5 ,4,(44),Rp 1.237.440,6,"['Penitipan sepeda', 'Penitipan anak', 'Sewa mobil', 'Layanan pijat', 'Check-out ekspress', 'Spa']","Monkey Forest, Ubud"
Ubud Raya Villa, 8.9 ,4,(81),Rp 2.555.935,6,"['Layanan pijat', 'Dapur kecil', 'Aksesibel bagi penyandang disabilitas', 'Check-out ekspress', 'Spa', 'Bar']","Sayan, Ubud"
Umah Hijau Tabanan, 7.7 ,0,(41),Rp 199.658,2,"['Pengering pakaian', 'Bar']","Tabanan Kota, Tabanan"
Prema Uja Villas, 9.2 ,0,(21),Rp 1.211.929,0,[],"Ubud, Gianyar"
Erna Villa,0,0,,Rp 5.021.498,0,[],"Jimbaran, Kuta Selatan"
Tebesaya Homestay , 8.5 ,0,(12),Rp 480.601,2,"['Layanan pijat', 'Check-out ekspress']","Ubud, Gianyar"
Sagara Villas and Suites Sanur by AHM,0,5,,Rp 2.934.610,4,"['Jemputan stasiun kereta', 'Limosin/mobil', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Sanur, Bali"
Bungalow Geringsing Candidasa, 8.5 ,3,(70),Rp 484.990,6,"['Snorkeling', 'Berlayar', 'Pemancingan', 'Winery', 'Handuk pantai', 'Layanan pijat']","Candidasa, Karangasem"
The Valerian Villa Ubud,0,0,,Rp 2.346.903,6,"['Aktivitas outdoor', 'Tennis meja', 'Pengering pakaian', 'Layanan pijat', 'Aksesibel bagi penyandang disabilitas', 'Area piknik']","Ubud, Gianyar"
The Arnaya, 8.9 ,4,(5),Rp 2.732.839,0,[],"Kuta, Badung"
Theanna Villa and Spa Canggu,0,5,,Rp 3.401.809,3,"['Penitipan anak', 'Jacuzzi', 'Bar']","Canggu, Kuta Utara"
Wana Karsa The Villas Ubud,0,3,,Rp 1.535.713,0,[],"Monkey Forest, Ubud"
Villa Taman di Blayu,0,4,,Rp 1.063.052,3,"['Kursi berjemur tepi kolam', 'Area piknik', 'Bar']","Marga, Tabanan"
New Ananda Beach Hotel,0,3,,Rp 500.000,0,[],"Sanur, Bali"
Aldeoz Grand Kancana Villa, 9.2 ,5,(21),Rp 1.657.637,6,"['Darts', 'Transportasi ke pantai', 'Penyewaan sepeda', 'Sewa mobil', 'Pusat kebugaran', 'Antar-jemput bandara']","Kerobokan, Kuta Utara"
Monolocale Resort,0,5,,Rp 2.499.975,0,[],"Umalas, Kuta Utara"
Bubble Hotel Bali Ubud - Glamping,0,2,,Rp 2.586.792,1,['Area piknik'],"Tampaksiring, Ubud"
Mutiara Kost - Imam Bonjol Denpasar , 8.1 ,0,(90),Rp 144.162,0,[],"Denpasar Barat, Denpasar"
Poh Manis Lembongan, 8.5 ,3,(53),Rp 591.985,6,"['Perahu dayung', 'Pemancingan', 'Kano', 'Menyelam', 'Pool atau Snooker', 'Check-out ekspress']","Nusa Lembongan, Nusa Island"
Villa Waturenggong Ubud,0,0,,Rp 653.238,0,[],"Kemenuh, Ubud"
Arunika Cottage Penida,0,1,,Rp 418.581,0,[],"Nusa Penida, Nusa Island"
Villa Serenity,0,4,,Rp 5.051.469,0,[],"Singaraja, Buleleng"
RedDoorz @ Villa Krisna Balangan Beach,0,1,,Rp 260.029,0,[],"Jimbaran, Kuta Selatan"
O Villas,0,5,,Rp 1.563.848,2,"['Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Seminyak, Kuta"
Uma Giri Villas Ubud by Pramana Villas,0,4,,Rp 2.914.792,6,"['Kursi berjemur', 'Sewa mobil', 'Kursi berjemur tepi kolam', 'Check-out ekspress', 'Area piknik', 'Spa']","Ubud, Gianyar"
Jadine Bali Villa by Nagisa Bali,0,4,,Rp 8.627.277,6,"['Bowling', 'Banana boat', 'Kano', 'Bersepeda atau bersepeda gunung', 'Dapur kecil', 'Teras rooftop']","Canggu, Kuta Utara"
Reswaha Villas by Pramana Villas, 8.8 ,3,(66),Rp 1.644.572,2,"['Dapur kecil', 'Antar-jemput bandara']","Ubud, Gianyar"
Bloo Lagoon Village, 8.7 ,3,(16),Rp 2.377.662,3,"['Dapur kecil', 'Bar di kolam renang', 'Bar']","Padangbai, Karangasem"
Tebesaya Cottage by Pramana Villas, 8.9 ,3,(233),Rp 1.027.053,5,"['Penitipan anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Ubud, Gianyar"
Suji Bungalow, 8 ,2,(80),Rp 369.985,1,['Antar-jemput bandara'],"Poppies, Kuta"
Munduk Moding Plantation Nature Resort & Spa, 9.3 ,5,(23),Rp 2.884.643,6,"['Badminton', 'Bersepeda atau bersepeda gunung', 'Pengering pakaian', 'Bilyar', 'Teras rooftop', 'Bar']","Munduk, Buleleng"
The Tukad Villas, 9 ,4,(93),Rp 1.543.015,3,"['Sewa mobil', 'Layanan pijat', 'Spa']","Seminyak, Kuta"
Anartha Resort Jimbaran By Kubu GWK.,0,4,,Rp 917.674,1,['Bar'],"Jimbaran, Kuta Selatan"
Gana Hotel & Restaurant, 9 ,4,(164),Rp 573.594,5,"['Area main anak', 'Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Spa']","Monkey Forest, Ubud"
Casa Priya Ubud,0,4,,Rp 1.502.718,1,['Dapur kecil'],"Ubud, Gianyar"
The Simore,0,3,,Rp 826.476,1,['Dapur kecil'],"Canggu, Kuta Utara"
La Belle Villa, 8.5 ,3,(102),Rp 1.273.264,2,"['Sewa mobil', 'Dapur kecil']","Seminyak, Kuta"
Kings Villas Sanur By Moria,0,4,,Rp 1.437.075,2,"['Kursi berjemur tepi kolam', 'Spa']","Sanur, Bali"
Tropical Bali Hotel, 8.4 ,2,(13),Rp 734.136,4,"['Penyewaan sepeda', 'Hewan peliharaan diizinkan', 'Sewa mobil', 'Antar-jemput bandara']","Sanur, Bali"
Arya Resort Nusa Penida,0,0,,Rp 520.866,2,"['Transportasi ke kapal pesiar', 'Transportasi ke terminal ferry']","Nusa Penida, Nusa Island"
Luwak Estate, 8.5 ,4,(8),Rp 3.497.554,6,"['Safari', 'Bersepeda atau bersepeda gunung', 'Layanan pijat', 'Check-out ekspress', 'Spa', 'Bar']","Ubud, Gianyar"
Volcano Cabins,0,0,,Rp 425.631,0,[],"Kintamani, Bangli"
Lumina Villa,0,5,,Rp 2.121.365,2,"['Sewa mobil', 'Dapur kecil']","Seminyak, Kuta"
HK Villa Bali, 9 ,4,(56),Rp 2.247.611,6,"['Banana boat', 'Aerobik', 'Volley pantai', 'Dapur kecil', 'Bilyar', 'Bar']","Legian, Kuta"
Sukanami Villa Ubud by ecommerceloka,0,0,,Rp 549.205,0,[],"Payangan, Ubud"
OYO 91495 Hotel Indah Residence, 7.7 ,1,(25),Rp 147.985,0,[],"Denpasar Utara, Denpasar"
Ayuterra Resort, 9.4 ,5,(8),Rp 5.383.352,6,"['Tenda di tepi kolam', 'Jacuzzi', 'Layanan pijat', 'Dapur kecil', 'Kursi berjemur tepi kolam', 'Bar']","Kedewatan, Ubud"
Bagus Beach Resort Lovina, 8.6 ,3,(166),Rp 262.928,6,"['Olah raga air', 'Ski air', 'Pemancingan', 'Menyelam', 'Aktivitas outdoor', 'Layanan pijat']","Lovina, Buleleng"
PukuPods - Tent & Cabin, 9.3 ,0,(12),Rp 526.205,0,[],"Jatiluwih, Penebel"
Kubu Alvian Guesthouse, 8.3 ,0,(12),Rp 235.608,0,[],"Denpasar Barat, Denpasar"
Puri Sading Hotel, 8 ,3,(16),Rp 979.028,1,['Penyewaan sepeda'],"Sanur, Bali"
Ila Villa Ubud, 8.7 ,3,(25),Rp 666.923,6,"['Penitipan sepeda', 'Limosin/mobil', 'Penyewaan sepeda', 'Teras rooftop', 'Antar-jemput bandara', 'Bar']","Ubud, Gianyar"
Mojosurf Camp Canggu - Hostel,0,1,,Rp 264.987,2,"['Spa', 'Bar']","Canggu, Kuta Utara"
Bukal Sari Villa, 8.5 ,2,(39),Rp 1.069.621,3,"['Pengering pakaian', 'Penyewaan sepeda', 'Sewa mobil']","Pecatu, Uluwatu"
LE JARDIN VILLAS SEMINYAK, 8.5 ,5,(26),Rp 4.038.465,6,"['Bersepeda atau bersepeda gunung', 'Layanan pijat', 'Dapur kecil', 'Pusat kebugaran', 'Teras rooftop', 'Spa']","Seminyak, Kuta"
Villa Kinjeng Canggu, 9.4 ,4,(5),Rp 8.713.489,0,[],"Canggu, Kuta Utara"
Samhita Garden Ubud,0,3,,Rp 1.964.037,1,['Dapur kecil'],"Ubud, Gianyar"
Meket Bungalows, 9.4 ,0,(14),Rp 843.656,6,"['Badminton', 'Snorkeling', 'Winery', 'Menyelam', 'Kursi berjemur pantai', 'Check-out ekspress']","Nusa Penida, Nusa Island"
Green Flow Villa 6,0,4,,Rp 2.277.828,1,['Kursi berjemur tepi kolam'],"Sayan, Ubud"
Kutus Kutus Mas Ubud Villa, 9.2 ,4,(22),Rp 834.028,3,"['Bersepeda atau bersepeda gunung', 'Pengering pakaian', 'Dapur kecil']","Ubud, Gianyar"
Jukung Guest House , 8.7 ,0,(24),Rp 901.198,5,"['Transportasi ke terminal ferry', 'Kursi berjemur', 'Sewa mobil', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Sanur, Bali"
The Swell, 8.9 ,0,(19),Rp 113.610,6,"['Restoran show cooking', 'Ruang santai', 'Bar', 'Klub malam', 'Bar di kolam renang', 'Bar']","Tanah Lot, Tabanan"
Aroha Boutique Villas, 8.8 ,4,(7),Rp 500.000,2,"['Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Seminyak, Kuta"
The Radian Villa, 8.8 ,4,(22),Rp 724.731,5,"['Penyewaan sepeda', 'Sewa mobil', 'Handuk pantai', 'Antar-jemput bandara', 'Kursi berjemur tepi kolam']","Canggu, Kuta Utara"
Villa Maviba Seminyak,0,5,,Rp 5.892.404,0,[],"Seminyak, Kuta"
Batur Bamboo Cabin by ecommerceloka, 8.6 ,0,(61),Rp 267.050,0,[],"Kintamani, Bangli"
Lanussa Hill Villa, 9 ,0,(20),Rp 395.879,0,[],"Nusa Lembongan, Nusa Island"
Grand La Walon Hotel, 8.7 ,3,(216),Rp 643.383,6,"['Area main anak', 'Handuk pantai', 'Bar di kolam renang', 'Perpustakaan', 'Aksesibel bagi penyandang disabilitas', 'Bar']","Legian, Kuta"
Bersila La Maison Du Bonheur, 9.3 ,3,(12),Rp 502.201,0,[],"Payangan, Ubud"
Tattva Retreat & Wellness,0,0,,Rp 984.961,2,"['Antar-jemput bandara', 'Spa']","Sayan, Ubud"
Roomates Surf Camp Canggu by Ini Vie Hospitality, 9 ,3,(48),Rp 171.966,2,"['Layanan pijat', 'Spa']","Canggu, Kuta Utara"
Taman Mesari Luxury Villas - Seminyak, 8.4 ,5,(50),Rp 2.643.833,3,"['Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara']","Seminyak, Kuta"
The 48 Resort Candidasa,0,3,,Rp 700.700,0,[],"Candidasa, Karangasem"
Stana Puri Gopa Hotel, 7.8 ,3,(50),Rp 561.892,2,"['Penyewaan sepeda', 'Sewa mobil']","Sanur, Bali"
Guest House Cempaka Putih,0,0,,Rp 348.232,0,[],"Kerobokan, Kuta Utara"
Urbanview Ava Guest House Goa Gong, 7.4 ,0,(16),Rp 279.784,0,[],"Ungasan, Uluwatu"
meraki Melaya,0,0,,Rp 785.062,6,"['Dekat pantai privat', 'Pantai privat', 'Hewan peliharaan diizinkan', 'Handuk pantai', 'Payung pantai', 'Area piknik']","Melaya, Jembrana"
Villa Happy Jimbaran, 8.3 ,3,(148),Rp 322.755,2,"['Sewa mobil', 'Antar-jemput bandara']","Jimbaran, Kuta Selatan"
EJ House,0,4,,Rp 1.089.147,0,[],"Singaraja, Buleleng"
Omkara Dharman Ubud Villa,0,0,,Rp 1.909.800,6,"['Aktivitas outdoor', 'Sewa mobil', 'Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara', 'Spa']","Ubud, Gianyar"
Mahayana Villa Tanah Lot,0,3,,Rp 479.846,0,[],"Tanah Lot, Tabanan"
Griya Private Villa,0,3,,Rp 1.579.057,1,['Antar-jemput bandara'],"Tampaksiring, Ubud"
casa moro,0,0,,Rp 2.315.625,0,[],"Canggu, Kuta Utara"
Kailash Suites by Pramana Villas,0,3,,Rp 970.136,2,"['Layanan pijat', 'Check-out ekspress']","Kemenuh, Ubud"
Tirta Tawar Villa,0,0,,Rp 2.181.723,6,"['Hewan peliharaan diizinkan', 'Handuk pantai', 'Layanan pijat', 'Dapur kecil', 'Payung pantai', 'Check-out ekspress']","Ubud, Gianyar"
Villa Isola Gallinara,0,0,,Rp 1.861.009,3,"['Dapur kecil', 'Payung pantai', 'Kursi berjemur tepi kolam']","Canggu, Kuta Utara"
Hotel Summer of Surf Canggu,0,2,,Rp 177.653,0,[],"Canggu, Kuta Utara"
Dua Dara Inn Kuta, 8 ,2,(605),Rp 127.509,1,['Penyewaan sepeda'],"Poppies, Kuta"
Wakajima House Kerobokan by The Lavana,0,4,,Rp 1.274.195,0,[],"Kerobokan, Kuta Utara"
Kubu Kalih, 7.7 ,2,(22),Rp 330.605,0,[],"Denpasar Selatan, Denpasar"
Kutabex Beachfront Hotel,0,3,,Rp 727.965,0,[],"Kuta, Badung"
PP Dream Guesthouse,0,0,,Rp 247.222,0,[],"Singaraja, Buleleng"
The Astari Villa and Residence, 9 ,3,(64),Rp 705.682,6,"['Penyewaan sepeda', 'Handuk pantai', 'Layanan pijat', 'Payung pantai', 'Kursi berjemur tepi kolam', 'Check-out ekspress']","Jimbaran, Kuta Selatan"
Leyeh Leyeh Homestay, 8.2 ,0,(8),Rp 262.835,4,"['Pengering pakaian', 'Sewa mobil', 'Antar-jemput bandara', 'Check-out ekspress']","Canggu, Kuta Utara"
Leafy Lofts Canggu,0,0,,Rp 1.866.049,5,"['Kursi berjemur', 'Layanan pijat', 'Dapur kecil', 'Perpustakaan', 'Kursi berjemur tepi kolam']","Canggu, Kuta Utara"
Mupu Jana G.House Keramas,0,0,,Rp 1.067.500,0,[],"Keramas, Gianyar"
Danakha Villa Ubud ,0,0,,Rp 1.092.200,2,"['Layanan pijat', 'Bar']","Tegallalang, Ubud"
Pramana Giri Kusuma, 9.2 ,4,(64),Rp 2.725.926,0,[],"Payangan, Ubud"
The Salak Style Hotel, 7.8 ,3,(65),Rp 423.671,4,"['Penitipan sepeda', 'Penyewaan sepeda', 'Aksesibel bagi penyandang disabilitas', 'Check-out ekspress']","Kerobokan, Kuta Utara"
"Cemara Hills Uluwatu, The Reserve - Cottages & Villas",0,4,,Rp 1.654.492,3,"['Payung pantai', 'Kursi berjemur tepi kolam', 'Bar']","Pecatu, Uluwatu"
Nusa Majesty, 8.1 ,3,(55),Rp 504.312,0,[],"Nusa Penida, Nusa Island"
Capital O 94403 Hotel Legian Beach Walk,0,4,,Rp 451.780,0,[],"Legian, Kuta"
Wana Karsa Ubud Hotel, 8.8 ,4,(7),Rp 993.393,0,[],"Monkey Forest, Ubud"
Bali Diamond Estates & Villas, 8.4 ,4,(21),Rp 4.663.922,6,"['Penitipan anak', 'Sewa mobil', 'Layanan pijat', 'Dapur kecil', 'Antar-jemput bandara', 'Bar']","Keramas, Gianyar"
Klumpu Bali Resort,0,4,,Rp 3.368.915,2,"['Jacuzzi', 'Check-out ekspress']","Sanur, Bali"
Tamukami Hotel, 8 ,4,(7),Rp 1.047.483,4,"['Penyewaan sepeda', 'Sewa mobil', 'Layanan pijat', 'Antar-jemput bandara']","Sanur, Bali"
Sunrise Huts Lembongan, 8.6 ,3,(92),Rp 480.739,5,"['Snorkeling', 'Menyelam', 'Kursi berjemur', 'Penyewaan sepeda', 'Layanan pijat']","Nusa Lembongan, Nusa Island"
RedDoorz near Buleleng Harbour 2, 8.5 ,0,(14),Rp 183.727,0,[],"Singaraja, Buleleng"
Doubleyou Home Stay Pemuteran,0,2,,Rp 282.150,0,[],"Pemuteran, Buleleng"
Daria Villa - 3 Bedrooms,0,4,,Rp 2.438.484,2,"['Payung pantai', 'Kursi berjemur tepi kolam']","Canggu, Kuta Utara"
Mimi Dream Lux Villa 99,0,0,,Rp 2.219.678,6,"['Jacuzzi', 'Hewan peliharaan diizinkan', 'Kursi berjemur pantai', 'Handuk pantai', 'Dapur kecil', 'Kursi berjemur tepi kolam']","Jimbaran, Kuta Selatan"
Terrace Garden Homestay and Spa, 9.1 ,2,(20),Rp 422.500,0,[],"Jimbaran, Kuta Selatan"
OYO 2534 Villa Krisna Balangan, 7.1 ,2,(11),Rp 139.905,1,['Check-out ekspress'],"Jimbaran, Kuta Selatan"
Villa Gaia Pererenan,0,4,,Rp 5.294.427,0,[],"Canggu, Kuta Utara"
ME Villa Pererenan,0,0,,Rp 989.534,0,[],"Canggu, Kuta Utara"
